"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-10-21T10:00:08.562"
2025-U11;K;107;2;0,8;
2025-U11;M;98;2;1,4;
2025-U12;K;98;2;1,1;
2025-U12;M;92;2;0,8;
2025-U13;K;90;1;0,6;
2025-U13;M;87;1;0,4;
2025-U14;K;79;1;0,2;
2025-U14;M;71;1;0,4;
2025-U15;K;67;1;0,5;
2025-U15;M;64;1;0,4;
2025-U16;K;50;1;0,4;
2025-U16;M;49;1;0,5;
2025-U17;K;45;1;0,4;
2025-U17;M;47;1;0,5;
2025-U18;K;43;1;0,4;
2025-U18;M;43;1;0,5;
2025-U19;K;38;1;0,4;
2025-U19;M;40;1;0,4;
2025-U20;K;39;1;0,4;
2025-U20;M;37;1;0,5;
2025-U21;K;34;1;0,6;
2025-U21;M;35;1;0,9;
2025-U22;K;35;1;0,5;
2025-U22;M;33;1;0,3;
2025-U23;K;35;1;0,6;
2025-U23;M;34;1;0,7;
2025-U24;K;31;1;0,3;
2025-U24;M;31;1;0,6;
2025-U25;K;32;1;0,3;
2025-U25;M;31;1;0,6;
2025-U26;K;29;1;0,5;
2025-U26;M;28;1;0,3;
2025-U27;K;26;1;0,4;
2025-U27;M;27;1;0,5;
2025-U28;K;24;1;0,3;
2025-U28;M;25;1;0,4;
2025-U29;K;24;1;0,5;
2025-U29;M;29;1;0,4;
2025-U30;K;23;1;0,2;
2025-U30;M;26;1;0,7;
2025-U31;K;22;1;0,4;
2025-U31;M;24;1;0,4;
2025-U32;K;24;1;0,6;
2025-U32;M;26;1;0,5;
2025-U33;K;29;3;0,7;
2025-U33;M;29;2;1,1;
2025-U34;K;34;2;0,9;
2025-U34;M;33;3;1,2;
2025-U35;K;37;3;1,2;
2025-U35;M;36;3;1,3;
2025-U36;K;41;4;1,5;
2025-U36;M;39;4;1,7;
2025-U37;K;42;3;1,4;
2025-U37;M;40;3;1,4;
2025-U38;K;43;3;1,3;
2025-U38;M;40;3;1,5;
2025-U39;K;44;3;1,4;
2025-U39;M;41;3;1,7;
2025-U40;K;47;3;1,3;
2025-U40;M;44;4;2,0;
2025-U41;K;53;4;1,7;
2025-U41;M;46;4;1,8;
2025-U42;K;47;4;1,7;
2025-U42;M;43;4;2,1;
