"Uge";"Regionskode";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere";"Første reinfektion";"To eller flere reinfektioner";"timestamp_2025-10-21T10:00:08.562"
2023-U38;1085;Sjælland;27;3,18;25;2;
2023-U38;1083;Syddanmark;18;1,46;17;1;
2023-U39;1084;Hovedstaden;87;4,59;76;11;
2023-U39;1082;Midtjylland;20;1,47;16;4;
2023-U39;1081;Nordjylland;12;2,02;10;2;
2023-U39;1085;Sjælland;23;2,71;19;4;
2023-U39;1083;Syddanmark;21;1,70;20;1;
2023-U40;1084;Hovedstaden;74;3,90;68;6;
2023-U40;1082;Midtjylland;30;2,20;28;2;
2023-U40;1081;Nordjylland;12;2,02;12;0;
2023-U40;1085;Sjælland;27;3,18;25;2;
2023-U40;1083;Syddanmark;36;2,91;34;2;
2023-U41;1084;Hovedstaden;85;4,48;78;7;
2023-U41;1082;Midtjylland;18;1,32;17;1;
2023-U41;1081;Nordjylland;15;2,53;15;0;
2023-U41;1085;Sjælland;36;4,24;35;1;
2023-U41;1083;Syddanmark;36;2,91;31;5;
2023-U42;1084;Hovedstaden;80;4,22;78;2;
2023-U42;1082;Midtjylland;34;2,50;33;1;
2023-U42;1081;Nordjylland;29;4,89;27;2;
2023-U42;1085;Sjælland;34;4,00;31;3;
2023-U42;1083;Syddanmark;32;2,59;29;3;
2023-U43;1084;Hovedstaden;125;6,59;110;15;
2023-U43;1082;Midtjylland;37;2,72;33;4;
2023-U43;1081;Nordjylland;30;5,06;30;0;
2023-U43;1085;Sjælland;53;6,24;50;3;
2023-U43;1083;Syddanmark;51;4,13;48;3;
2023-U44;1084;Hovedstaden;148;7,80;130;18;
2023-U44;1082;Midtjylland;48;3,53;45;3;
2023-U44;1081;Nordjylland;34;5,73;33;1;
2023-U44;1085;Sjælland;55;6,47;52;3;
2023-U44;1083;Syddanmark;78;6,31;69;9;
2023-U45;1084;Hovedstaden;217;11,41;188;29;
2023-U45;1082;Midtjylland;53;3,89;50;3;
2023-U45;1081;Nordjylland;30;5,06;27;3;
2023-U45;1085;Sjælland;79;9,30;73;6;
2023-U45;1083;Syddanmark;93;7,52;86;7;
2023-U46;1084;Hovedstaden;188;9,89;168;20;
2023-U46;1082;Midtjylland;70;5,14;64;6;
2023-U46;1081;Nordjylland;41;6,91;40;1;
2023-U46;1085;Sjælland;101;11,88;94;7;
2023-U46;1083;Syddanmark;99;8,01;92;7;
